plato_id,ingrediente_id,cantidad_receta
0,496,0.529
0,26,0.414
0,4,0.481
0,449,0.483
0,134,0.278
1,438,0.49
1,41,0.111
1,68,0.4
1,294,0.448
1,348,0.513
2,187,0.557
2,142,0.52
2,443,0.524
2,164,0.486
2,14,0.54
2,495,0.503
2,75,0.401
3,167,0.435
3,73,0.516
3,419,0.175
3,152,0.119
3,471,0.539
3,36,0.257
4,308,0.354
4,472,0.338
4,300,0.235
4,167,0.115
4,334,0.403
5,290,0.325
5,494,0.32
5,65,0.146
6,98,0.487
6,426,0.328
6,417,0.406
6,419,0.287
6,329,0.451
7,44,0.293
7,51,0.206
7,8,0.416
7,283,0.588
8,374,0.325
8,230,0.243
8,173,0.249
9,497,0.546
9,207,0.427
9,162,0.436
9,392,0.103
10,153,0.189
10,337,0.357
11,379,0.59
11,463,0.376
11,378,0.113
12,149,0.472
12,265,0.208
12,491,0.131
13,211,0.15
13,219,0.511
13,106,0.438
13,40,0.144
14,372,0.121
14,337,0.222
14,365,0.157
14,4,0.367
15,20,0.237
15,232,0.222
15,128,0.169
15,339,0.525
15,56,0.408
15,98,0.193
16,221,0.599
16,311,0.447
17,410,0.307
17,126,0.576
17,293,0.512
18,238,0.306
18,293,0.427
18,67,0.598
18,269,0.569
19,70,0.196
19,298,0.497
19,238,0.117
19,445,0.591
19,494,0.533
19,181,0.39
20,166,0.299
20,76,0.399
21,343,0.52
21,123,0.516
21,151,0.434
22,43,0.185
22,430,0.347
22,81,0.336
22,461,0.578
23,186,0.121
23,230,0.438
23,471,0.307
23,99,0.162
23,270,0.31
24,64,0.554
24,268,0.368
25,486,0.357
25,347,0.261
25,188,0.177
25,203,0.327
26,356,0.322
26,112,0.153
26,456,0.41
26,259,0.41
26,398,0.119
26,139,0.245
27,307,0.493
27,251,0.562
27,260,0.4
27,402,0.194
27,473,0.491
27,488,0.578
27,279,0.39
28,165,0.277
28,62,0.207
28,362,0.386
28,359,0.449
28,335,0.437
28,466,0.227
29,302,0.579
29,36,0.142
29,123,0.422
29,176,0.586
29,221,0.589
29,72,0.336
30,464,0.57
30,28,0.426
30,285,0.307
30,213,0.384
30,332,0.372
31,463,0.481
31,396,0.44
31,63,0.371
32,14,0.389
32,354,0.438
33,434,0.566
33,17,0.21
33,290,0.467
33,462,0.359
33,147,0.106
33,36,0.358
33,262,0.15
34,460,0.134
34,376,0.42
34,162,0.489
34,253,0.335
35,250,0.134
35,168,0.549
35,346,0.2
35,459,0.254
35,24,0.243
36,271,0.357
36,23,0.391
36,53,0.181
36,373,0.21
36,488,0.218
37,269,0.201
37,437,0.531
37,403,0.271
37,57,0.573
37,120,0.136
38,387,0.222
38,32,0.293
38,466,0.587
38,456,0.531
38,426,0.108
38,459,0.59
38,471,0.284
39,98,0.587
39,54,0.14
39,225,0.293
39,345,0.425
40,84,0.315
40,364,0.564
