cliente_id,codigo,genero,pais,fecha_registro
0,CL00000000,F,ES,2025-08-07
1,CL00000001,M,IT,2025-03-11
2,CL00000002,M,IT,2025-01-23
3,CL00000003,M,ES,2025-03-20
4,CL00000004,M,ES,2025-09-04
5,CL00000005,M,ES,2025-02-08
6,CL00000006,M,PT,2025-05-16
7,CL00000007,F,ES,2025-06-28
8,CL00000008,M,PT,2024-12-08
9,CL00000009,M,ES,2024-12-21
10,CL00000010,M,ES,2025-01-30
11,CL00000011,M,ES,2025-10-29
12,CL00000012,F,PT,2025-04-20
13,CL00000013,M,ES,2025-03-21
14,CL00000014,F,IT,2025-07-13
15,CL00000015,F,ES,2025-02-12
16,CL00000016,M,PT,2024-12-30
17,CL00000017,F,ES,2025-08-14
18,CL00000018,F,ES,2025-07-10
19,CL00000019,M,ES,2025-03-12
20,CL00000020,M,ES,2025-01-27
21,CL00000021,M,ES,2025-05-13
22,CL00000022,M,ES,2025-06-09
23,CL00000023,M,ES,2025-10-02
24,CL00000024,F,ES,2025-06-08
25,CL00000025,M,ES,2024-11-26
26,CL00000026,M,ES,2024-12-28
27,CL00000027,F,ES,2025-05-17
28,CL00000028,F,ES,2025-02-25
29,CL00000029,F,ES,2025-05-29
30,CL00000030,M,ES,2025-02-24
31,CL00000031,M,ES,2025-06-11
32,CL00000032,F,PT,2025-08-10
33,CL00000033,F,ES,2025-02-18
34,CL00000034,M,ES,2025-10-28
35,CL00000035,M,ES,2025-10-13
36,CL00000036,M,ES,2025-03-30
37,CL00000037,F,ES,2024-12-03
38,CL00000038,M,ES,2025-09-26
39,CL00000039,M,ES,2025-07-08
40,CL00000040,F,PT,2025-05-25
41,CL00000041,M,ES,2025-02-17
42,CL00000042,F,IT,2025-02-27
43,CL00000043,F,ES,2025-07-14
44,CL00000044,F,PT,2024-11-15
45,CL00000045,M,ES,2025-10-31
46,CL00000046,M,ES,2025-02-12
47,CL00000047,M,ES,2025-02-07
48,CL00000048,M,PT,2025-06-30
49,CL00000049,M,ES,2025-10-29
50,CL00000050,M,ES,2025-10-11
51,CL00000051,M,ES,2025-06-13
52,CL00000052,M,ES,2025-02-15
53,CL00000053,F,ES,2025-09-17
54,CL00000054,F,ES,2024-12-22
55,CL00000055,M,PT,2025-05-25
56,CL00000056,F,ES,2025-08-24
57,CL00000057,M,ES,2025-04-04
58,CL00000058,M,ES,2024-12-11
59,CL00000059,F,ES,2025-01-08
60,CL00000060,F,ES,2025-03-30
61,CL00000061,M,ES,2025-01-15
62,CL00000062,F,ES,2025-04-11
63,CL00000063,M,ES,2025-03-28
64,CL00000064,M,ES,2025-08-06
65,CL00000065,M,ES,2025-04-16
66,CL00000066,M,PT,2025-06-15
67,CL00000067,M,PT,2024-11-23
68,CL00000068,F,ES,2024-11-11
69,CL00000069,F,ES,2025-05-01
70,CL00000070,M,ES,2025-07-01
71,CL00000071,M,ES,2025-08-25
72,CL00000072,F,ES,2025-01-14
73,CL00000073,M,ES,2025-09-22
74,CL00000074,M,ES,2024-11-07
75,CL00000075,F,ES,2025-04-20
76,CL00000076,F,ES,2025-01-18
77,CL00000077,F,ES,2024-11-11
78,CL00000078,F,ES,2025-01-25
79,CL00000079,M,ES,2025-05-06
80,CL00000080,M,ES,2024-12-20
81,CL00000081,M,PT,2025-07-10
82,CL00000082,F,ES,2025-03-01
83,CL00000083,M,ES,2025-02-16
84,CL00000084,F,ES,2025-02-23
85,CL00000085,M,ES,2024-12-12
86,CL00000086,M,ES,2025-10-08
87,CL00000087,F,ES,2025-09-20
88,CL00000088,F,ES,2025-02-09
89,CL00000089,M,ES,2025-07-20
90,CL00000090,F,ES,2025-07-19
91,CL00000091,F,ES,2024-12-03
92,CL00000092,F,ES,2025-09-18
93,CL00000093,M,ES,2025-07-05
94,CL00000094,M,ES,2025-03-20
95,CL00000095,F,ES,2025-04-23
96,CL00000096,F,IT,2025-10-20
97,CL00000097,M,ES,2025-01-25
98,CL00000098,M,ES,2025-06-02
99,CL00000099,F,IT,2025-06-16
100,CL00000100,F,ES,2025-01-25
101,CL00000101,F,ES,2025-05-27
102,CL00000102,F,ES,2025-05-24
103,CL00000103,F,PT,2025-08-02
104,CL00000104,M,ES,2025-04-11
105,CL00000105,M,ES,2025-04-26
106,CL00000106,F,ES,2025-08-15
107,CL00000107,M,ES,2024-12-05
108,CL00000108,M,ES,2024-12-01
109,CL00000109,F,ES,2025-03-24
110,CL00000110,F,ES,2025-03-04
111,CL00000111,F,ES,2025-06-10
112,CL00000112,M,ES,2025-02-02
113,CL00000113,F,ES,2025-06-21
114,CL00000114,F,ES,2025-07-30
115,CL00000115,M,ES,2025-06-13
116,CL00000116,M,IT,2025-05-29
117,CL00000117,M,ES,2024-12-19
118,CL00000118,M,PT,2025-09-10
119,CL00000119,F,ES,2025-04-02
120,CL00000120,F,ES,2025-10-27
121,CL00000121,M,IT,2025-03-31
122,CL00000122,M,ES,2025-04-13
123,CL00000123,F,ES,2025-08-23
124,CL00000124,F,ES,2025-03-22
125,CL00000125,F,PT,2025-08-09
126,CL00000126,M,ES,2025-10-05
127,CL00000127,F,ES,2025-10-22
128,CL00000128,F,ES,2025-10-05
129,CL00000129,F,ES,2025-06-27
130,CL00000130,F,ES,2025-01-27
131,CL00000131,F,ES,2025-06-13
132,CL00000132,M,ES,2025-02-09
133,CL00000133,F,PT,2025-06-28
134,CL00000134,M,ES,2025-04-24
135,CL00000135,M,ES,2025-09-17
136,CL00000136,F,ES,2025-01-29
137,CL00000137,F,PT,2025-01-16
138,CL00000138,F,ES,2025-08-06
139,CL00000139,F,ES,2025-03-19
140,CL00000140,M,ES,2025-06-17
141,CL00000141,F,ES,2025-03-29
142,CL00000142,F,ES,2025-11-03
143,CL00000143,M,PT,2025-05-14
144,CL00000144,M,ES,2025-04-17
145,CL00000145,M,ES,2025-06-26
146,CL00000146,M,ES,2025-06-09
147,CL00000147,F,ES,2025-02-16
148,CL00000148,F,ES,2025-08-11
149,CL00000149,M,ES,2025-05-20
150,CL00000150,F,ES,2025-03-22
151,CL00000151,F,PT,2025-03-31
152,CL00000152,F,ES,2025-05-18
153,CL00000153,F,ES,2025-03-15
154,CL00000154,F,ES,2025-04-24
155,CL00000155,F,ES,2024-11-19
156,CL00000156,F,ES,2025-08-13
157,CL00000157,F,ES,2025-06-07
158,CL00000158,M,ES,2025-09-09
159,CL00000159,F,ES,2025-10-21
160,CL00000160,F,ES,2025-04-30
161,CL00000161,M,ES,2025-03-09
162,CL00000162,M,ES,2025-04-25
163,CL00000163,M,ES,2025-06-28
164,CL00000164,M,ES,2025-08-10
165,CL00000165,F,ES,2024-12-18
166,CL00000166,F,IT,2025-01-30
167,CL00000167,M,PT,2024-12-29
168,CL00000168,M,PT,2025-07-01
169,CL00000169,F,ES,2025-04-25
170,CL00000170,F,ES,2024-11-07
171,CL00000171,F,ES,2025-06-01
172,CL00000172,F,PT,2025-03-22
173,CL00000173,M,ES,2025-01-11
174,CL00000174,F,ES,2025-08-17
175,CL00000175,M,ES,2025-11-05
176,CL00000176,F,ES,2025-03-17
177,CL00000177,F,ES,2025-06-16
178,CL00000178,M,ES,2025-11-02
179,CL00000179,F,ES,2024-11-09
180,CL00000180,F,ES,2024-11-09
181,CL00000181,M,ES,2025-04-27
182,CL00000182,F,ES,2025-05-08
183,CL00000183,M,ES,2025-03-08
184,CL00000184,M,ES,2024-11-22
185,CL00000185,M,ES,2024-12-26
186,CL00000186,F,ES,2025-10-29
187,CL00000187,M,ES,2024-12-22
188,CL00000188,M,ES,2024-11-11
189,CL00000189,F,ES,2025-07-31
190,CL00000190,M,ES,2025-01-17
191,CL00000191,F,ES,2025-07-29
192,CL00000192,M,ES,2025-03-18
193,CL00000193,F,PT,2025-08-23
194,CL00000194,F,ES,2025-04-02
195,CL00000195,M,ES,2025-09-21
196,CL00000196,F,ES,2025-07-30
197,CL00000197,M,ES,2025-07-12
198,CL00000198,F,ES,2024-12-02
199,CL00000199,M,ES,2025-06-19
200,CL00000200,F,ES,2025-03-01
201,CL00000201,M,ES,2025-09-02
202,CL00000202,F,ES,2025-08-21
203,CL00000203,M,ES,2025-01-18
204,CL00000204,F,ES,2025-01-15
205,CL00000205,F,ES,2025-09-09
206,CL00000206,M,PT,2024-12-03
207,CL00000207,F,PT,2025-07-10
208,CL00000208,F,PT,2025-06-05
209,CL00000209,M,PT,2025-07-22
210,CL00000210,F,ES,2025-04-09
211,CL00000211,F,ES,2024-12-18
212,CL00000212,M,ES,2025-04-10
213,CL00000213,F,ES,2025-09-25
214,CL00000214,F,ES,2025-05-03
215,CL00000215,F,ES,2024-11-11
216,CL00000216,M,ES,2025-07-06
217,CL00000217,M,ES,2024-11-15
218,CL00000218,M,ES,2024-12-10
219,CL00000219,M,ES,2025-05-25
220,CL00000220,F,ES,2025-07-21
221,CL00000221,F,ES,2025-07-14
222,CL00000222,F,ES,2025-08-12
223,CL00000223,F,ES,2025-04-19
224,CL00000224,F,ES,2025-02-14
225,CL00000225,M,PT,2025-04-03
226,CL00000226,M,ES,2025-06-23
227,CL00000227,F,ES,2025-01-16
228,CL00000228,F,ES,2025-02-05
229,CL00000229,M,IT,2025-05-27
230,CL00000230,F,PT,2025-07-21
231,CL00000231,M,ES,2025-08-19
232,CL00000232,F,ES,2024-11-19
233,CL00000233,F,ES,2025-02-05
234,CL00000234,M,ES,2024-12-21
235,CL00000235,F,ES,2025-02-15
236,CL00000236,F,ES,2025-06-28
237,CL00000237,F,ES,2025-09-11
238,CL00000238,F,ES,2025-04-25
239,CL00000239,F,ES,2025-05-22
240,CL00000240,M,ES,2025-07-16
241,CL00000241,F,ES,2025-07-29
242,CL00000242,M,ES,2025-08-31
243,CL00000243,M,ES,2025-05-11
244,CL00000244,M,ES,2025-10-01
245,CL00000245,M,ES,2024-12-14
246,CL00000246,F,ES,2024-12-04
247,CL00000247,F,ES,2025-06-11
248,CL00000248,F,ES,2025-02-22
249,CL00000249,F,ES,2024-12-24
250,CL00000250,M,PT,2025-06-14
251,CL00000251,F,IT,2025-10-17
252,CL00000252,M,PT,2024-11-30
253,CL00000253,F,ES,2025-01-04
254,CL00000254,M,PT,2025-08-16
255,CL00000255,M,ES,2025-03-23
256,CL00000256,M,ES,2025-09-22
257,CL00000257,M,ES,2025-05-14
258,CL00000258,F,ES,2025-08-20
259,CL00000259,M,ES,2025-05-08
260,CL00000260,M,ES,2025-01-09
261,CL00000261,F,PT,2025-08-04
262,CL00000262,M,ES,2025-03-27
263,CL00000263,F,PT,2024-12-27
264,CL00000264,M,ES,2025-03-09
265,CL00000265,M,ES,2025-03-15
266,CL00000266,F,ES,2025-10-01
267,CL00000267,M,PT,2024-12-13
268,CL00000268,M,IT,2025-02-04
269,CL00000269,M,PT,2024-11-15
270,CL00000270,M,ES,2025-02-18
271,CL00000271,M,PT,2025-09-15
272,CL00000272,F,PT,2025-08-11
273,CL00000273,F,ES,2025-04-13
274,CL00000274,M,ES,2025-01-05
275,CL00000275,M,PT,2025-03-05
276,CL00000276,F,PT,2025-05-30
277,CL00000277,M,PT,2025-09-03
278,CL00000278,M,ES,2025-07-30
279,CL00000279,M,ES,2024-12-25
280,CL00000280,F,ES,2025-01-30
281,CL00000281,F,PT,2025-04-20
282,CL00000282,F,ES,2025-10-05
283,CL00000283,F,ES,2025-08-25
284,CL00000284,F,ES,2025-03-05
285,CL00000285,F,PT,2025-02-25
286,CL00000286,M,ES,2025-06-06
287,CL00000287,F,ES,2025-01-23
288,CL00000288,M,ES,2025-05-23
289,CL00000289,M,IT,2025-07-07
290,CL00000290,M,ES,2025-10-27
291,CL00000291,F,ES,2025-03-11
292,CL00000292,M,ES,2025-04-02
293,CL00000293,M,PT,2025-10-11
294,CL00000294,F,ES,2024-12-08
295,CL00000295,M,ES,2025-02-10
296,CL00000296,M,ES,2025-08-18
297,CL00000297,M,ES,2025-06-26
298,CL00000298,M,ES,2025-08-18
299,CL00000299,F,PT,2025-10-11
300,CL00000300,F,ES,2025-07-06
301,CL00000301,M,ES,2025-04-06
302,CL00000302,F,ES,2025-09-11
303,CL00000303,F,IT,2025-05-10
304,CL00000304,F,ES,2025-04-18
305,CL00000305,M,ES,2024-12-04
306,CL00000306,F,ES,2025-04-15
307,CL00000307,M,PT,2025-10-12
308,CL00000308,F,ES,2025-11-02
309,CL00000309,F,PT,2025-04-03
310,CL00000310,M,PT,2025-01-26
311,CL00000311,M,ES,2025-08-31
312,CL00000312,M,ES,2025-09-08
313,CL00000313,F,ES,2025-08-23
314,CL00000314,F,ES,2025-08-28
315,CL00000315,F,ES,2025-05-14
316,CL00000316,M,ES,2025-01-21
317,CL00000317,M,ES,2025-06-08
318,CL00000318,F,PT,2025-07-14
319,CL00000319,F,PT,2025-02-18
320,CL00000320,F,ES,2025-05-31
321,CL00000321,F,ES,2025-05-24
322,CL00000322,F,ES,2024-11-24
323,CL00000323,M,ES,2025-01-18
324,CL00000324,F,IT,2024-12-14
325,CL00000325,M,ES,2025-03-18
326,CL00000326,M,PT,2025-06-03
327,CL00000327,F,ES,2025-01-22
328,CL00000328,M,ES,2025-05-09
329,CL00000329,M,ES,2024-11-16
330,CL00000330,M,ES,2025-02-04
331,CL00000331,F,ES,2025-06-14
332,CL00000332,F,ES,2025-05-04
333,CL00000333,M,ES,2025-07-14
334,CL00000334,F,PT,2025-01-31
335,CL00000335,M,ES,2025-05-23
336,CL00000336,F,ES,2025-08-18
337,CL00000337,F,ES,2025-04-05
338,CL00000338,F,ES,2025-06-20
339,CL00000339,F,ES,2025-06-05
340,CL00000340,F,ES,2024-11-10
