entrega_id,fecha,pedido_id,cliente_id,tiempo_min,propina
0,2025-07-10,127935,8481,34,4.71
1,2025-07-11,117637,31709,26,0.47
2,2025-05-29,133016,48873,27,0.65
3,2025-11-02,98932,3228,41,3.91
4,2025-10-22,50960,40870,38,1.15
5,2025-01-15,144779,23545,21,0.81
6,2025-10-15,122358,14181,49,2.16
7,2025-01-05,106798,4897,22,0.68
8,2024-11-06,104234,27124,39,0.71
9,2024-12-25,139425,4980,51,0.68
10,2025-02-25,142740,7536,45,2.33
11,2025-06-03,24730,2506,55,1.36
12,2025-02-23,24448,32067,26,0.57
13,2024-11-26,78723,14031,28,0.26
14,2025-05-27,45478,45026,45,2.8
15,2025-02-01,23693,14501,20,6.65
16,2024-12-12,103472,14322,47,0.0
17,2025-10-24,121054,28010,54,0.15
18,2025-10-15,48508,22142,26,2.37
19,2025-08-04,35766,46443,41,0.18
20,2025-06-13,59267,32192,30,0.03
21,2025-04-25,12440,23604,63,2.25
22,2024-12-01,9365,17900,18,0.71
23,2025-09-17,67397,43489,24,0.99
24,2024-11-10,11980,2502,37,0.4
25,2025-04-15,30562,13629,26,1.87
26,2025-04-29,115717,27838,43,1.01
27,2025-01-25,32619,4710,36,0.43
28,2025-02-15,30598,38437,24,1.73
29,2025-02-10,99430,9,31,1.63
30,2025-06-12,127967,43821,32,5.7
31,2025-03-18,76031,17829,25,0.99
32,2025-04-26,80687,45758,35,1.37
33,2025-09-04,101982,28037,38,2.14
34,2025-01-05,43667,2544,26,3.39
35,2025-05-27,68939,13259,38,0.42
36,2025-07-10,118050,41547,25,0.23
37,2025-10-06,103780,8931,34,0.59
38,2025-02-05,24459,1988,35,0.58
39,2025-10-18,10450,18226,35,0.47
40,2025-08-06,124448,35074,32,1.42
41,2025-10-08,7146,47281,37,0.22
42,2024-12-22,23544,14882,47,3.98
43,2025-03-09,103000,13671,25,1.3
44,2025-06-09,129848,36471,37,5.03
45,2025-01-21,129662,45741,36,0.05
46,2025-02-05,103877,19467,17,2.04
47,2025-06-12,77614,9101,42,0.59
48,2025-05-09,128814,28096,12,0.35
49,2025-03-24,41896,34765,43,0.78
50,2025-08-20,121376,44033,53,0.0
51,2025-03-14,63831,26356,32,1.19
52,2025-02-14,44719,46719,16,1.28
53,2024-11-07,46278,9780,33,1.76
54,2025-03-11,40362,25730,38,1.13
55,2025-10-26,116024,23706,37,0.59
56,2025-05-31,107353,11276,42,1.46
57,2025-04-22,95887,33873,25,6.19
58,2025-01-10,52766,17773,53,3.41
59,2025-07-27,102156,25827,20,0.73
60,2025-01-07,138807,45550,38,1.5
61,2025-07-01,61887,25792,40,0.79
62,2025-06-02,69698,19065,28,0.1
63,2025-02-19,82452,27434,34,0.36
64,2025-08-29,7750,19487,21,0.74
65,2025-01-25,51926,38696,27,1.94
66,2025-07-24,144362,49432,29,2.8
67,2025-05-11,109209,11028,34,0.47
68,2025-07-31,16925,23353,22,1.3
69,2024-12-13,70061,21181,34,1.16
70,2025-03-30,140351,1074,24,1.67
71,2025-02-07,11722,30616,34,0.25
72,2025-04-17,56637,34003,35,0.49
73,2025-05-17,82023,15598,31,0.92
74,2025-01-22,130986,27255,41,0.23
75,2025-09-19,138059,8831,21,0.97
76,2025-05-19,104922,15681,35,3.04
77,2025-10-28,26170,34019,59,0.9
78,2025-01-30,102642,48445,32,0.8
79,2025-03-14,2363,22305,35,0.15
80,2024-12-29,84934,25939,40,0.11
81,2025-07-31,3323,958,29,0.03
82,2025-08-14,8436,8349,51,1.27
83,2025-10-15,44136,48604,33,1.16
84,2024-11-06,5759,38994,41,2.53
85,2025-08-11,147242,48095,38,0.56
86,2025-09-24,65111,29204,51,1.77
87,2025-05-31,67350,10451,29,0.03
88,2025-05-03,138286,23535,17,1.2
89,2025-07-21,134070,6637,31,1.15
90,2025-05-17,124243,45493,25,1.26
91,2025-06-27,106911,13621,39,1.39
92,2025-02-19,55275,11892,54,0.44
93,2025-03-25,53578,38533,18,4.83
94,2025-02-24,82233,35326,34,0.26
95,2024-11-16,51900,30969,50,0.95
96,2025-03-27,53454,25630,34,1.14
97,2024-11-18,56568,23184,17,2.8
98,2025-07-15,130635,16005,52,0.96
99,2025-07-26,148680,48288,10,0.03
100,2025-08-05,80328,31677,39,1.14
101,2025-08-20,65395,26797,44,0.19
102,2025-05-16,18386,41042,16,1.61
103,2024-12-13,117233,30810,37,3.92
104,2025-05-01,46389,7041,45,0.08
105,2024-11-16,99590,16299,26,0.24
106,2024-11-09,10842,31678,53,2.82
107,2024-11-24,80539,20020,21,0.19
108,2025-06-19,67578,39864,23,3.97
109,2025-04-05,59477,41512,26,1.1
110,2025-02-19,117447,20869,41,1.23
111,2025-02-07,108869,7780,39,0.71
112,2025-08-24,9063,28276,37,0.73
113,2025-07-10,92759,19379,42,0.47
114,2025-10-09,54359,37719,53,2.91
115,2025-09-29,141866,45406,41,3.49
116,2024-11-23,89922,42290,44,2.29
117,2025-07-28,56366,38816,28,2.67
118,2025-10-18,36893,21483,50,0.57
119,2025-01-12,52590,18058,35,0.2
120,2025-02-22,89510,14539,39,0.41
121,2025-10-08,80027,13193,22,1.35
122,2025-08-21,107422,1900,24,0.23
123,2025-04-17,10650,37645,30,0.08
124,2025-10-02,50826,25520,27,2.54
125,2025-07-04,37860,49909,44,2.78
126,2025-01-07,16393,32933,23,0.81
127,2025-10-11,121258,2045,44,0.83
128,2025-06-30,121169,1677,28,1.18
129,2025-04-27,19272,7053,33,0.24
130,2025-10-03,73048,15381,27,2.0
131,2025-01-26,95581,33869,35,5.51
132,2024-11-13,54474,17016,39,0.01
133,2025-06-06,87257,27563,42,0.87
134,2025-04-23,21791,34351,10,0.7
135,2025-03-26,132259,30826,31,5.49
136,2025-10-13,36199,14990,29,0.73
137,2025-03-04,27700,46183,18,2.81
138,2025-04-19,58315,41979,49,1.26
139,2024-12-14,127952,16224,34,0.33
140,2025-07-29,56753,28976,17,7.54
141,2025-03-26,89437,27626,22,3.61
142,2025-04-22,139460,43196,28,1.5
143,2025-11-03,97803,17243,43,2.15
144,2024-11-19,40836,25,31,0.8
145,2025-08-16,137238,41219,36,1.58
146,2025-03-10,118314,34650,23,0.15
147,2025-04-07,33059,18798,45,3.0
148,2025-02-20,108295,29727,41,1.76
149,2025-10-18,141848,27394,13,1.04
150,2025-08-11,23356,38924,36,0.89
151,2024-12-24,113230,23017,32,2.06
152,2025-06-11,83481,37224,41,3.23
153,2025-08-27,134326,40795,28,3.72
154,2025-08-29,121208,24591,30,1.85
155,2025-08-29,1876,12942,30,0.45
156,2025-07-24,83110,21392,46,0.08
157,2025-07-11,42659,32668,36,1.0
158,2025-06-16,105514,38716,41,1.75
159,2025-08-16,106140,12770,53,1.98
160,2025-10-08,101071,46666,29,2.72
161,2025-07-04,89040,38964,24,0.64
162,2025-09-30,130055,29390,44,1.17
163,2025-03-27,103909,3329,21,0.07
164,2025-04-16,84345,37452,45,1.8
165,2024-11-20,34990,15923,28,1.5
166,2024-12-20,34892,32222,36,0.37
167,2025-05-09,43475,42484,27,1.16
168,2025-10-11,79486,38859,12,2.88
169,2025-04-04,38776,29939,26,1.44
170,2025-02-05,104692,48351,27,2.43
171,2025-10-05,23366,30421,29,2.12
172,2025-04-29,73667,996,27,1.54
