mov_id,fecha,ingrediente_id,tipo,cantidad,costo_unitario,proveedor_id
0,2025-09-08,44,salida,4.04,0.31,182
1,2024-11-25,85,entrada,1.05,1.44,71
2,2025-01-19,268,salida,1.02,1.94,98
3,2025-05-17,361,salida,4.81,9.68,83
4,2025-02-10,277,entrada,0.59,4.33,174
5,2025-06-02,54,salida,3.38,5.81,180
6,2025-10-30,31,salida,4.19,9.46,105
7,2025-05-15,68,salida,2.17,1.9,86
8,2025-07-10,329,entrada,3.23,8.79,55
9,2025-04-26,187,salida,4.33,7.78,150
10,2024-12-04,46,entrada,4.66,5.47,160
11,2025-10-28,214,entrada,4.11,0.24,146
12,2025-10-05,21,entrada,0.4,1.87,90
13,2025-04-24,132,entrada,4.86,5.57,115
14,2025-09-05,310,entrada,1.23,2.35,100
15,2025-04-26,272,salida,3.37,1.09,158
16,2024-12-29,321,salida,4.37,8.93,70
17,2025-01-17,177,salida,0.19,2.54,1
18,2025-05-04,317,salida,3.87,5.99,15
19,2025-06-24,172,salida,2.79,2.79,56
20,2025-06-02,321,salida,3.77,6.65,25
21,2025-03-19,53,salida,3.46,3.55,11
22,2025-05-24,360,salida,2.78,8.89,177
23,2024-12-23,23,entrada,3.24,0.48,197
24,2025-04-11,49,salida,4.39,3.59,138
25,2025-07-18,39,entrada,3.61,6.26,22
26,2025-06-29,220,entrada,2.66,7.98,89
27,2025-06-06,332,salida,4.14,8.13,125
28,2025-03-27,261,entrada,0.71,8.87,108
29,2025-03-16,185,entrada,2.47,5.59,33
30,2025-09-19,65,salida,0.77,10.1,192
31,2025-09-04,7,entrada,0.34,3.03,154
32,2025-04-01,364,salida,1.69,8.38,111
33,2025-10-28,400,salida,2.58,4.83,198
34,2025-02-03,254,entrada,0.15,4.43,39
35,2025-06-02,243,entrada,4.84,10.02,134
36,2024-12-04,266,entrada,1.71,3.21,15
37,2025-08-07,4,salida,3.38,7.93,190
38,2025-04-01,378,salida,1.74,8.87,190
39,2024-11-14,67,salida,4.27,6.67,107
40,2025-01-29,232,salida,0.79,2.36,162
41,2025-07-23,179,entrada,3.02,3.51,84
42,2024-12-11,222,salida,3.31,5.69,170
43,2025-08-29,174,entrada,2.86,2.04,82
44,2025-08-19,411,salida,0.26,6.55,135
45,2025-06-27,181,salida,3.09,4.05,3
46,2025-05-27,112,entrada,0.19,3.59,6
47,2025-06-10,376,salida,2.12,1.96,46
48,2025-07-18,444,salida,1.28,0.83,154
49,2025-09-23,283,salida,4.75,6.33,31
50,2024-11-27,68,salida,2.18,6.88,155
51,2025-05-27,56,entrada,3.07,5.87,66
52,2025-01-03,369,entrada,3.29,7.11,146
53,2025-02-16,218,entrada,0.1,10.02,65
54,2025-08-21,229,salida,4.23,0.73,74
55,2025-03-09,336,salida,1.25,5.88,158
56,2025-01-21,28,entrada,1.27,6.11,61
57,2025-05-26,182,salida,0.16,7.09,139
58,2024-11-19,135,salida,3.69,6.82,188
59,2025-09-30,462,entrada,4.4,3.11,2
60,2025-01-16,164,entrada,4.62,5.16,128
61,2025-04-28,88,entrada,3.15,1.14,120
62,2025-01-20,57,salida,3.99,7.28,57
63,2025-10-07,277,salida,0.33,7.7,154
64,2025-06-13,179,salida,2.74,2.17,191
65,2025-04-05,278,salida,2.57,3.28,188
66,2025-02-16,121,salida,2.48,2.49,120
67,2024-12-15,323,entrada,2.51,5.78,74
68,2025-05-30,14,entrada,4.3,7.64,118
69,2025-05-04,493,salida,3.48,6.21,41
70,2025-04-09,114,entrada,2.02,5.32,22
71,2025-01-12,216,salida,0.97,4.13,189
72,2024-12-28,61,entrada,3.72,9.84,71
73,2025-03-22,49,salida,1.74,5.5,144
74,2025-09-25,327,entrada,0.65,6.99,73
75,2025-06-18,4,salida,2.15,3.15,183
76,2024-12-18,273,entrada,4.68,9.36,30
77,2025-02-18,5,salida,1.94,4.75,38
78,2025-01-19,72,entrada,1.02,8.58,131
79,2025-05-08,79,entrada,3.53,10.02,34
80,2025-09-17,72,entrada,4.39,2.82,131
81,2025-01-09,294,entrada,3.61,0.94,53
82,2025-07-21,380,salida,4.34,5.58,79
83,2025-10-29,250,salida,3.7,7.39,136
84,2025-06-22,39,entrada,2.74,6.12,176
85,2025-03-02,120,salida,2.18,9.18,51
86,2025-10-08,351,entrada,3.66,4.63,185
87,2024-12-25,415,salida,2.9,6.71,79
88,2025-07-10,146,salida,2.46,5.3,108
89,2025-11-04,251,entrada,3.93,10.17,25
90,2025-10-12,85,salida,1.49,4.13,111
91,2025-10-11,166,salida,0.32,1.05,85
92,2025-09-07,453,salida,0.42,9.51,157
93,2025-10-25,17,entrada,4.64,6.77,168
94,2024-12-01,191,entrada,4.65,2.04,124
95,2025-07-19,291,salida,1.73,2.38,101
96,2024-12-21,19,salida,3.64,8.71,126
97,2025-08-13,82,salida,3.57,10.09,167
98,2025-10-30,365,salida,3.34,8.83,0
99,2025-08-23,311,entrada,0.67,0.44,84
100,2025-07-01,348,salida,2.46,9.76,83
101,2025-09-30,53,entrada,0.55,5.27,30
102,2025-06-27,280,entrada,1.73,6.87,79
103,2025-04-28,163,salida,2.51,4.33,141
104,2025-07-21,325,salida,4.03,1.53,82
105,2025-04-22,275,salida,2.26,1.4,53
106,2025-01-12,172,salida,3.86,9.34,1
107,2025-02-15,498,salida,4.27,2.17,133
108,2024-12-21,308,salida,3.75,1.13,74
109,2025-04-30,317,entrada,1.56,9.11,18
110,2025-04-29,287,entrada,4.2,7.4,92
111,2025-08-29,221,entrada,0.93,0.69,139
112,2024-11-28,217,salida,0.99,5.96,47
113,2025-10-26,146,salida,0.85,3.51,83
114,2025-03-06,238,salida,1.26,1.86,47
115,2025-05-01,250,salida,3.15,9.29,44
116,2025-10-18,130,salida,4.3,1.23,132
117,2025-08-01,8,salida,0.94,5.45,182
118,2025-02-18,40,entrada,0.35,6.62,29
119,2024-11-15,328,salida,3.03,7.4,86
120,2024-12-06,34,salida,2.91,4.37,14
121,2025-04-04,396,salida,0.8,10.01,54
122,2025-07-27,390,entrada,0.9,6.11,118
123,2025-07-26,450,salida,4.05,3.39,179
124,2025-02-19,302,entrada,1.16,8.36,150
125,2025-01-23,485,salida,4.53,9.82,80
126,2025-04-11,277,entrada,4.47,1.0,50
127,2024-11-17,258,salida,2.28,2.37,115
128,2025-06-11,132,salida,0.54,4.8,196
129,2025-09-04,289,salida,1.7,7.62,150
130,2024-11-15,434,salida,0.4,6.97,29
131,2025-03-11,340,salida,4.18,1.71,3
132,2025-06-17,492,salida,3.53,7.2,51
133,2025-08-27,142,salida,3.2,9.81,170
134,2025-09-10,29,entrada,2.41,1.11,135
135,2025-07-13,443,entrada,2.9,8.11,149
136,2025-03-05,460,salida,4.07,2.55,150
137,2024-12-27,194,salida,0.52,4.46,111
138,2025-05-03,394,salida,4.94,6.91,176
139,2025-01-04,383,entrada,2.03,0.41,103
140,2025-05-03,449,salida,1.28,9.57,144
141,2025-06-27,472,entrada,2.36,4.6,108
142,2025-07-07,31,salida,0.75,6.62,142
143,2025-07-20,463,salida,4.33,8.95,0
144,2025-04-13,498,salida,4.91,8.97,164
145,2025-04-06,75,salida,1.63,3.79,113
146,2025-04-24,189,entrada,2.23,1.11,29
147,2025-11-03,411,salida,4.97,1.25,22
148,2025-10-23,147,entrada,0.82,4.73,126
149,2025-04-30,356,salida,4.83,2.7,122
150,2025-01-14,432,entrada,0.17,4.39,12
151,2025-04-12,97,entrada,3.45,1.85,138
152,2025-01-10,128,salida,0.64,8.68,144
153,2025-10-05,140,entrada,0.25,0.29,61
154,2025-01-30,346,salida,3.96,3.9,182
155,2025-05-24,147,entrada,1.87,4.04,38
156,2025-09-02,193,salida,3.81,7.51,120
157,2025-06-16,170,salida,3.24,9.41,98
158,2025-09-03,233,salida,4.07,8.13,121
159,2025-08-17,410,entrada,1.32,2.73,136
160,2025-09-18,347,entrada,0.69,1.61,150
161,2025-09-17,462,salida,2.25,4.85,133
162,2025-02-12,182,entrada,2.52,6.65,172
163,2025-06-03,203,salida,0.4,8.75,93
164,2025-03-17,158,entrada,3.05,2.47,117
165,2024-12-01,369,salida,1.56,5.11,92
166,2025-10-07,274,entrada,2.19,9.1,36
167,2025-01-23,343,salida,4.82,9.12,44
168,2025-09-01,4,salida,0.47,6.0,61
169,2025-05-12,47,entrada,3.57,9.07,87
170,2025-10-31,487,salida,2.51,1.08,56
171,2025-06-17,128,entrada,0.89,7.71,54
172,2025-10-05,364,salida,2.24,6.87,59
173,2025-02-17,472,entrada,2.05,8.92,38
174,2025-02-03,270,entrada,1.48,7.82,180
175,2025-07-31,164,salida,0.75,6.31,198
176,2025-09-29,140,salida,2.59,6.37,190
177,2025-01-22,291,salida,3.34,7.1,150
178,2025-10-11,289,salida,2.38,3.41,194
179,2025-04-10,207,salida,0.86,5.37,132
180,2025-09-05,70,entrada,1.52,2.3,183
181,2025-07-25,445,entrada,0.66,4.43,168
182,2025-02-22,185,salida,3.0,9.44,67
183,2025-05-21,32,entrada,4.4,5.09,97
184,2025-10-18,251,entrada,0.4,6.08,53
185,2025-04-01,338,salida,5.09,9.86,81
186,2025-10-26,296,salida,2.67,3.89,33
187,2025-04-30,216,salida,2.6,1.55,181
188,2024-11-27,317,salida,0.2,0.71,113
189,2025-09-03,185,salida,2.91,0.78,195
190,2024-11-07,215,salida,1.7,9.41,38
191,2025-10-24,30,salida,4.17,1.47,19
192,2025-01-27,300,entrada,0.34,1.88,168
193,2025-06-09,71,salida,3.53,2.19,1
194,2025-02-17,316,salida,0.39,4.22,169
195,2025-09-03,112,salida,2.46,7.55,66
196,2025-01-28,368,salida,2.83,4.03,74
197,2025-02-17,369,entrada,1.62,5.0,108
198,2025-04-03,114,salida,3.71,6.55,17
199,2025-04-28,339,entrada,3.26,9.32,44
200,2025-05-20,102,salida,4.95,1.52,81
201,2025-05-05,12,entrada,3.67,6.38,96
202,2025-09-05,74,salida,4.35,5.45,181
203,2025-06-30,199,entrada,3.07,2.06,85
204,2024-12-05,387,salida,4.64,5.12,22
205,2025-09-04,403,entrada,2.97,4.02,84
206,2025-05-08,130,salida,4.26,4.24,156
207,2025-05-30,211,salida,0.54,7.07,149
208,2024-12-23,316,salida,2.96,2.29,186
209,2025-09-25,104,salida,1.47,0.94,123
210,2025-05-29,221,entrada,4.98,3.13,55
211,2024-11-28,194,salida,2.31,2.63,106
212,2025-04-09,219,salida,0.9,3.59,129
213,2024-12-14,140,salida,3.65,3.95,84
214,2025-06-04,92,entrada,3.15,6.62,15
215,2025-09-01,218,salida,0.76,6.39,12
216,2025-03-20,192,salida,3.29,7.71,85
217,2025-10-31,466,entrada,1.77,4.11,53
218,2025-07-23,483,salida,4.88,5.25,61
219,2025-10-10,143,entrada,0.71,0.68,110
220,2025-03-17,363,entrada,3.23,3.15,69
221,2025-06-27,404,salida,2.6,4.59,156
222,2025-02-12,38,entrada,3.66,7.41,79
223,2025-01-19,296,salida,1.13,1.2,45
224,2025-04-16,360,salida,0.53,2.24,172
225,2025-08-04,298,salida,4.48,2.13,161
226,2025-07-27,183,entrada,4.4,7.16,182
227,2024-11-19,184,entrada,3.79,1.05,116
228,2025-10-01,258,entrada,0.44,8.64,75
229,2025-10-04,406,salida,0.44,2.6,137
230,2025-10-11,65,salida,3.14,7.84,105
231,2025-03-05,273,salida,1.17,2.07,116
232,2024-11-28,343,entrada,0.91,3.69,196
233,2025-03-03,54,salida,3.83,6.89,125
234,2025-05-29,55,entrada,4.85,7.93,147
235,2025-05-14,473,entrada,2.85,1.86,43
236,2025-08-03,139,salida,1.62,1.95,84
237,2025-10-03,169,entrada,2.6,5.24,97
238,2025-08-19,246,entrada,3.76,1.16,79
239,2025-07-22,95,salida,2.12,10.06,174
240,2025-08-19,490,entrada,2.7,2.03,81
241,2025-09-18,395,salida,3.84,2.94,24
242,2025-07-04,145,entrada,0.37,5.25,49
243,2025-06-25,252,salida,3.15,7.19,187
244,2025-04-16,96,salida,0.81,3.77,167
245,2025-02-08,257,salida,1.81,5.84,8
246,2025-05-08,461,salida,4.31,5.92,198
247,2025-04-02,95,salida,3.32,7.17,149
248,2025-10-13,372,entrada,0.98,3.56,145
249,2025-05-29,489,salida,4.24,9.86,164
250,2025-04-02,168,entrada,0.87,1.59,37
251,2024-12-30,196,salida,4.38,5.62,188
252,2025-03-09,191,salida,0.18,2.8,147
253,2025-05-16,403,salida,4.6,5.07,155
