reserva_id,cliente_id,mesa_id,fecha,personas,canal
0,36746,34,2025-03-25,4,app
1,15530,158,2025-04-10,5,app
2,7713,126,2025-09-26,2,web
3,22908,84,2025-01-23,2,telefono
4,6199,35,2025-03-08,2,app
5,17272,84,2025-10-29,4,app
6,43040,19,2025-09-03,6,telefono
7,8966,164,2025-02-23,6,telefono
8,15855,82,2025-08-21,3,
9,20829,95,2025-02-11,4,telefono
10,25118,59,2024-11-08,2,app
11,32651,54,2025-04-19,1,web
12,20300,32,2025-07-29,2,telefono
13,9058,27,2025-01-04,4,web
14,4304,180,2025-06-28,2,telefono
15,176,3,2025-10-19,3,app
16,3395,139,2025-01-06,4,web
17,33319,127,2025-01-26,5,app
18,31118,128,2025-05-10,2,web
19,33255,156,2024-12-20,2,
20,19907,96,2025-04-14,4,telefono
21,8554,159,2025-02-02,2,telefono
22,42760,22,2025-07-27,2,telefono
23,24380,127,2025-05-01,2,telefono
24,12748,118,2024-12-03,2,app
25,39383,130,2024-12-24,2,telefono
26,41425,19,2025-10-17,1,web
27,8774,109,2025-01-15,3,app
28,17013,43,2025-04-14,6,web
29,26546,79,2025-08-30,2,app
30,8733,31,2025-06-05,4,app
31,48612,164,2024-11-13,4,
32,24972,141,2025-09-07,2,web
33,700,107,2025-01-17,5,web
34,8009,100,2025-06-29,2,telefono
35,7679,83,2025-03-08,4,telefono
36,9315,102,2025-07-15,2,web
37,3507,25,2025-08-26,2,telefono
38,21492,41,2025-10-16,4,
39,12418,179,2025-09-07,3,telefono
40,17281,37,2025-04-07,4,telefono
41,34514,152,2025-08-06,4,app
42,30163,148,2025-08-31,4,telefono
43,5289,57,2025-05-21,4,app
44,24598,153,2024-11-22,4,telefono
45,31516,32,2025-03-11,2,web
46,35617,63,2025-02-27,2,app
47,2593,29,2025-02-28,2,web
48,7779,111,2025-05-27,3,app
49,17721,111,2025-03-12,1,web
50,47897,57,2025-06-30,3,web
51,37958,43,2024-12-06,3,telefono
52,41414,12,2025-03-09,4,web
53,28623,41,2025-01-26,2,web
54,46809,11,2025-01-07,4,app
55,42503,47,2025-04-28,2,telefono
56,49067,12,2025-08-07,3,telefono
57,8978,87,2025-09-24,2,telefono
58,9466,114,2025-04-12,2,telefono
59,43928,148,2025-03-29,3,telefono
60,47405,116,2025-05-15,2,web
61,18153,72,2025-10-29,3,app
62,9751,15,2024-12-31,4,app
63,46998,2,2025-01-04,4,telefono
64,33779,141,2024-12-18,6,web
65,12722,116,2025-05-03,4,app
66,30921,155,2025-09-27,3,web
67,32490,145,2025-06-19,2,app
68,24108,143,2025-05-25,2,web
69,23376,87,2025-02-28,2,app
70,10210,96,2024-12-09,1,web
71,49596,38,2025-04-09,2,app
